Date,Up
7/2/2016,-116.615
7/3/2016,-116.581
7/4/2016,-120.907
7/5/2016,-123.328
7/6/2016,-118.877
7/7/2016,-124.728
7/8/2016,-120.184
7/9/2016,-120.392
7/10/2016,-119.69
7/11/2016,-127.026
7/12/2016,-121.193
7/13/2016,-126.798
7/14/2016,-110.98
7/15/2016,-115.55
7/16/2016,-120.822
7/17/2016,-126.802
7/18/2016,-123.941
7/19/2016,-131.434
7/20/2016,-129.62
7/21/2016,-121.678
7/22/2016,-140.956
7/23/2016,-128.332
7/24/2016,-138.105
7/25/2016,-129.452
7/26/2016,-135.033
7/27/2016,-131.571
7/28/2016,-131.171
7/29/2016,-133.859
7/30/2016,-133.373
7/31/2016,-130.593
8/1/2016,-133.416
8/2/2016,-133.945
8/3/2016,-137.765
8/4/2016,-136.117
8/5/2016,-131.665
8/6/2016,-137.338
8/7/2016,-139.243
8/8/2016,-128.773
8/9/2016,-139.539
8/10/2016,-143.74
8/11/2016,-139.749
8/12/2016,-137.419
8/13/2016,-143.503
8/14/2016,-129.865
8/15/2016,-144.37
8/16/2016,-132.527
8/17/2016,-145.142
8/18/2016,-144.842
8/19/2016,-140.797
8/20/2016,-142.729
8/21/2016,-137.472
8/22/2016,-151.321
8/23/2016,-143.355
8/24/2016,-143.559
8/25/2016,-147.079
8/26/2016,-138.885
8/27/2016,-144.412
8/28/2016,-149.85
8/29/2016,-148.095
8/30/2016,-149.844
8/31/2016,-144.933
9/1/2016,-145.327
9/2/2016,-143.87
9/3/2016,-142.002
9/4/2016,-147.071
9/5/2016,-146.744
9/6/2016,-148.482
9/7/2016,-152.012
9/8/2016,-152.071
9/9/2016,-151.267
9/10/2016,-154.074
9/11/2016,-150.407
9/12/2016,-148.999
9/13/2016,-152.888
9/14/2016,-154.077
9/15/2016,-154.5
9/16/2016,-164.375
9/17/2016,-161.439
9/18/2016,-155.911
9/19/2016,-157.354
9/20/2016,-158.97
9/21/2016,-158.282
9/22/2016,-159.534
9/23/2016,-160.521
9/24/2016,-151.431
9/25/2016,-152.407
9/26/2016,-160.932
9/27/2016,-164.503
9/28/2016,-154.475
9/29/2016,-153.556
9/30/2016,-162.982
10/1/2016,-159.963
10/2/2016,-154.104
10/3/2016,-157.318
10/4/2016,-156.945
10/5/2016,-159.215
10/6/2016,-153.764
