id,lat,lon,value
98,27.6087785,85.34150266,3.50064
99,27.6087785,85.34850265,5.17856
100,27.6057785,85.35250265,6.71401
101,27.6057785,85.35950265,6.07766
102,27.6067785,85.36550264,5.74067
103,27.6057785,85.37150264,4.37095
104,27.6067785,85.37650263,3.33188
105,27.6087785,85.37950263,0.800604
106,27.6087785,85.38350263,6.24575
107,27.6107785,85.25450273,4.60086
108,27.6107785,85.25550273,4.9124
109,27.6097785,85.26150272,8.59772
110,27.6127785,85.26950271,5.58773
111,27.6127785,85.27250271,-0.990443
112,27.6117785,85.27650271,4.37158
113,27.6107785,85.2925027,-6.29628
114,27.6097785,85.29750269,-2.6723
115,27.6127785,85.30350269,-5.93837
116,27.6107785,85.30950268,1.00524
117,27.6117785,85.31150268,-0.674898
118,27.6107785,85.31650268,3.42462
119,27.6117785,85.32550267,7.36296
120,27.6127785,85.32750267,4.93457
121,27.6117785,85.33350267,6.12401
122,27.6107785,85.33850266,5.62552
123,27.6117785,85.34650266,4.97831
124,27.6127785,85.34750265,4.1544
125,27.6127785,85.35250265,5.83684
126,27.6107785,85.36050264,7.12241
127,27.6097785,85.36550264,6.33524
128,27.6107785,85.37050264,2.44353
129,27.6117785,85.37650263,0.390285
130,27.6127785,85.37750263,-1.11564
131,27.6097785,85.38250263,-0.131698
132,27.61477849,85.25350273,7.98496
133,27.61777849,85.25850272,3.55795
134,27.61677849,85.26450272,7.88115
135,27.61677849,85.26950271,2.26296
136,27.61477849,85.27250271,-0.172516
137,27.61577849,85.27950271,2.45377
138,27.61577849,85.2845027,-10.7772
139,27.61777849,85.29550269,-1.00749
140,27.61677849,85.30050269,-2.22904
141,27.61477849,85.30350269,-2.67861
142,27.61777849,85.30950268,-0.235818
143,27.61377849,85.31150268,-1.95723
144,27.61777849,85.31650268,6.12774
145,27.61777849,85.32550267,3.73238
146,27.61777849,85.32950267,-0.0560714
147,27.61777849,85.33350267,1.04347
148,27.61777849,85.33650266,2.38849
149,27.61377849,85.34550266,5.00252
150,27.61477849,85.34850265,6.21467
151,27.61577849,85.35250265,7.01794
152,27.61777849,85.35750265,7.53471
153,27.61777849,85.36550264,6.50035
154,27.61477849,85.37050264,4.87247
155,27.61377849,85.37650263,3.14311
156,27.61377849,85.37950263,-3.22396
157,27.61377849,85.38250263,0.288165
158,27.61377849,85.38750262,7.89294
159,27.62077849,85.25350273,6.11897
160,27.62077849,85.25650272,6.6179
161,27.61977849,85.26150272,5.34852
162,27.61977849,85.26950271,3.68296
163,27.61877849,85.27250271,3.95255
164,27.61977849,85.27950271,3.90789
165,27.61977849,85.28150271,-1.62839
166,27.61877849,85.2895027,-1.6887
167,27.61877849,85.29550269,-1.55247
168,27.61877849,85.29650269,-0.485769
169,27.61877849,85.30150269,-2.31384
170,27.61877849,85.31050268,-0.323155
171,27.62077849,85.31150268,0.919234
172,27.62177849,85.31650268,3.38129
173,27.62077849,85.32550267,2.79512
174,27.62077849,85.33050267,-1.95664
175,27.62077849,85.33350267,-0.610432
176,27.62077849,85.33650266,0.0905514
177,27.62077849,85.34350266,1.84135
178,27.62077849,85.34850265,4.25075
179,27.62077849,85.35650265,4.42597
180,27.62077849,85.35750265,6.17941
181,27.61977849,85.36550264,4.92364
182,27.62077849,85.36850264,6.1734
183,27.62177849,85.37250264,5.70225
184,27.61877849,85.37950263,6.02142
185,27.61977849,85.38350263,5.35673
186,27.62077849,85.39450262,7.63644
187,27.62077849,85.39950261,8.96286
188,27.62077849,85.48650255,1.11154
189,27.62577849,85.24850273,9.20942
190,27.62377849,85.25550273,15.1432
191,27.62477849,85.26350272,9.3344
192,27.62377849,85.26850272,7.94438
193,27.62377849,85.27350271,8.37101
194,27.62477849,85.28050271,7.46429
195,27.62477849,85.2835027,3.66407
196,27.62377849,85.2875027,-3.99184
197,27.62477849,85.2945027,-1.77645
198,27.62677848,85.29650269,-5.49839
199,27.62377849,85.30150269,1.48592
200,27.62677848,85.30950268,-1.76634
201,27.62677848,85.31150268,-1.93374
202,27.62677848,85.32050268,-1.39659
203,27.62677848,85.32550267,-3.71865
204,27.62677848,85.32950267,-7.76637
205,27.62677848,85.33550266,-8.04107
206,27.62677848,85.33950266,-16.6223
207,27.62677848,85.34450266,-25.7821
208,27.62677848,85.34850265,-15.9297
209,27.62677848,85.35350265,-1.98196
210,27.62677848,85.35750265,1.10627
211,27.62277849,85.36550264,3.41943
212,27.62277849,85.37050264,2.99558
213,27.62577849,85.37450263,4.70985
214,27.62577849,85.38650262,5.61618
215,27.62577849,85.38950262,5.59563
216,27.62677848,85.39250262,5.68167
217,27.62477849,85.40050261,5.0999
218,27.62677848,85.40350261,11.1658
219,27.63077848,85.26150272,7.18739
220,27.62877848,85.26550272,7.26484
221,27.62977848,85.2835027,0.513933
222,27.62977848,85.2905027,1.74822
223,27.62777848,85.2945027,-4.67285
224,27.62977848,85.29650269,-0.78151
225,27.62977848,85.30550269,2.14058
226,27.62877848,85.31050268,-3.70421
227,27.62977848,85.31150268,-4.16528
228,27.62877848,85.32050268,-3.38696
229,27.62977848,85.32550267,-4.77013
230,27.62977848,85.33050267,-7.67271
231,27.62977848,85.33550266,-15.7088
232,27.62977848,85.33950266,-34.3563
233,27.62977848,85.34350266,-40.0605
234,27.62977848,85.34850265,-27.174
235,27.62977848,85.35350265,-10.4499
236,27.63077848,85.36150264,-4.49625
237,27.62977848,85.36450264,-0.70841
238,27.62977848,85.36750264,3.6795
239,27.63077848,85.37450263,2.23807
240,27.62977848,85.38150263,4.2805
241,27.62877848,85.38350263,3.20738
242,27.62877848,85.38950262,5.34152
243,27.63077848,85.39550262,5.8768
244,27.62977848,85.39750262,6.14977
245,27.62877848,85.40250261,9.77196
246,27.63077848,85.46550256,4.07458
247,27.63177848,85.26050272,5.3655
248,27.63577848,85.2835027,0.514672
249,27.63377848,85.2895027,-3.53011
250,27.63477848,85.2925027,-4.8238
251,27.63377848,85.29650269,1.29205
252,27.63577848,85.30550269,-2.47927
253,27.63577848,85.30950268,-7.16544
254,27.63577848,85.31450268,-9.35948
255,27.63577848,85.31650268,-10.5524
256,27.63577848,85.32550267,-12.4391
257,27.63577848,85.32950267,-18.8731
258,27.63377848,85.33550266,-33.5418
259,27.63477848,85.33950266,-48.7576
260,27.63577848,85.34150266,-50.7176
261,27.63577848,85.34750265,-46.6342
262,27.63577848,85.35350265,-34.0813
263,27.63577848,85.35750265,-24.771
264,27.63577848,85.36450264,-23.5629
265,27.63577848,85.36750264,-20.3251
266,27.63577848,85.37450263,-6.72317
267,27.63577848,85.37750263,-2.27431
268,27.63577848,85.38350263,2.62542
269,27.63477848,85.38750262,4.19985
270,27.63177848,85.39350262,5.26981
271,27.63377848,85.39850262,5.53169
272,27.63577848,85.40350261,8.50086
273,27.63177848,85.4165026,5.86425
274,27.63577848,85.4195026,9.51688
275,27.63577848,85.43250259,4.10032
276,27.63577848,85.43650259,9.69843
277,27.63477848,85.47850255,6.61115
278,27.63477848,85.48150255,2.7023
279,27.63477848,85.48550255,6.0885
280,27.63777848,85.27450271,7.79527
281,27.63877848,85.27950271,3.97964
282,27.63977847,85.2855027,-11.2636
283,27.63977847,85.2905027,-7.82113
284,27.63877848,85.2925027,-6.39412
285,27.63877848,85.29950269,-4.85562
286,27.63877848,85.30550269,-4.52609
287,27.63877848,85.30950268,-7.85978
288,27.63877848,85.31550268,-20.5221
289,27.63877848,85.31850268,-22.524
290,27.63877848,85.32550267,-19.7998
