id,lat,lon,value
86,27.6076686,85.28644075,-2.32405
87,27.6076686,85.28944075,-8.47504
88,27.6086686,85.29444074,-3.01886
89,27.6076686,85.29744074,1.30555
90,27.6076686,85.30544073,-3.27362
91,27.6086686,85.31044073,-1.90113
92,27.6086686,85.31444073,-2.34267
93,27.6056686,85.31744072,-0.276312
94,27.6086686,85.32644072,4.36175
95,27.6066686,85.33044071,4.02669
96,27.6056686,85.33444071,3.31447
97,27.6056686,85.33744071,2.81722
98,27.6086686,85.34244071,3.18541
99,27.6086686,85.3484407,4.60188
100,27.6056686,85.35744069,5.85148
101,27.6056686,85.36044069,5.1352
102,27.6086686,85.36544069,3.15724
103,27.6056686,85.37244068,3.38768
104,27.6066686,85.37644068,-2.94495
105,27.6086686,85.37944068,-3.85076
106,27.6076686,85.38444067,4.75003
107,27.61366859,85.24844078,5.94267
108,27.6096686,85.25444077,2.50674
109,27.6096686,85.25644077,4.46845
110,27.61366859,85.26544076,6.05337
111,27.61366859,85.26944076,2.04279
112,27.61366859,85.27144076,-2.53993
113,27.6106686,85.28144075,-0.215794
114,27.6106686,85.28444075,-3.63581
115,27.6106686,85.28744075,-2.91362
116,27.6096686,85.29444074,-5.3975
117,27.61266859,85.29944074,-5.88614
118,27.61366859,85.30644073,1.24729
119,27.61366859,85.31144073,-1.38567
120,27.61366859,85.31244073,-2.8298
121,27.6096686,85.31744072,2.34809
122,27.6096686,85.32644072,4.52777
123,27.61366859,85.33044071,2.6552
124,27.61366859,85.33344071,2.49345
125,27.61366859,85.33744071,3.10878
126,27.6096686,85.34244071,3.95829
127,27.61266859,85.3494407,3.43921
128,27.61266859,85.3534407,5.61386
129,27.6106686,85.36244069,5.21011
130,27.6096686,85.36544069,3.5178
131,27.61266859,85.36844069,2.72491
132,27.6116686,85.37744068,0.842243
133,27.6116686,85.37944068,-1.16128
134,27.61366859,85.38344067,-0.316804
135,27.61366859,85.38944067,3.98241
136,27.61566859,85.25244077,2.25685
137,27.61666859,85.25844077,4.96682
138,27.61766859,85.26144077,4.73487
139,27.61466859,85.26944076,1.70776
140,27.61566859,85.27144076,-0.0820305
141,27.61766859,85.28144075,3.09212
142,27.61566859,85.28544075,-3.34906
143,27.61466859,85.28744075,-0.530186
144,27.61766859,85.29544074,-4.09106
145,27.61666859,85.29844074,-0.57177
146,27.61666859,85.30344074,-1.37862
147,27.61466859,85.31144073,-1.22813
148,27.61466859,85.31244073,-0.935015
149,27.61566859,85.31744072,3.17291
150,27.61766859,85.32644072,3.42279
151,27.61766859,85.33144071,-0.401822
152,27.61766859,85.33344071,-1.24347
153,27.61766859,85.33744071,0.211188
154,27.61766859,85.3434407,2.57743
155,27.61766859,85.3484407,3.42554
156,27.61766859,85.35744069,3.67361
157,27.61766859,85.35844069,3.41926
158,27.61766859,85.36744069,3.18341
159,27.61766859,85.37244068,2.03932
160,27.61766859,85.37344068,2.82138
161,27.61466859,85.38044068,2.37356
162,27.61466859,85.38444067,1.87815
163,27.61766859,85.39544066,5.48356
164,27.62066859,85.25444077,3.539
165,27.61866859,85.26044077,5.46802
166,27.61866859,85.26144077,4.72197
167,27.62066859,85.26944076,2.16367
168,27.62066859,85.27144076,3.02292
169,27.61966859,85.28044075,0.600637
170,27.61866859,85.28544075,-5.17439
171,27.61866859,85.29144074,-4.5231
172,27.61966859,85.29344074,-4.2016
173,27.62066859,85.29844074,-6.70195
174,27.61966859,85.30244074,-4.00863
175,27.61866859,85.31044073,-1.42656
176,27.62166859,85.31244073,-0.815597
177,27.62166859,85.31944072,1.98977
178,27.62166859,85.32644072,-0.273571
179,27.62166859,85.33144071,-3.89557
180,27.62166859,85.33244071,-3.72457
181,27.62166859,85.33844071,-2.78093
182,27.62166859,85.3444407,-4.0508
183,27.62166859,85.3504407,-2.24517
184,27.62166859,85.3534407,-1.95048
185,27.62166859,85.35844069,1.86964
186,27.62166859,85.36744069,2.29001
187,27.62166859,85.37144068,2.48006
188,27.61966859,85.37444068,0.675108
189,27.62066859,85.38144068,1.4881
190,27.62166859,85.38544067,7.26007
191,27.62166859,85.39244067,6.36044
192,27.61866859,85.39644066,4.17044
193,27.61966859,85.39844066,6.3302
194,27.62666858,85.24944078,4.00416
195,27.62266859,85.25344077,3.8497
196,27.62466859,85.25744077,3.87311
197,27.62466859,85.26144077,4.2743
198,27.62466859,85.27044076,3.81583
199,27.62466859,85.27144076,2.58009
200,27.62666858,85.28744075,5.06456
201,27.62366859,85.29644074,-2.78371
202,27.62266859,85.29744074,-3.96209
203,27.62466859,85.30444073,1.16225
204,27.62666858,85.31044073,-2.08185
205,27.62666858,85.31444073,-2.61691
206,27.62666858,85.32044072,-3.19595
207,27.62666858,85.32644072,-4.14857
208,27.62666858,85.33144071,-7.92795
209,27.62666858,85.33644071,-12.1085
210,27.62666858,85.34144071,-19.613
211,27.62666858,85.3454407,-27.979
212,27.62666858,85.3484407,-27.086
213,27.62666858,85.3534407,-12.8761
214,27.62666858,85.36144069,-3.3121
215,27.62666858,85.36444069,-0.273838
216,27.62266859,85.37244068,0.63705
217,27.62366859,85.37444068,1.45763
218,27.62666858,85.37844068,1.73451
219,27.62666858,85.38344067,3.51876
220,27.62666858,85.39244067,3.62959
221,27.62466859,85.39644066,3.7943
222,27.62666858,85.40244066,6.22452
223,27.62566858,85.40544066,2.06585
224,27.62766858,85.24844078,6.47821
225,27.62766858,85.25744077,2.22438
226,27.62966858,85.26444077,5.61338
227,27.62766858,85.26944076,2.02924
228,27.62866858,85.28544075,1.75597
229,27.62966858,85.29044075,-0.0154941
230,27.63066858,85.29544074,-2.09625
231,27.62866858,85.29944074,0.18376
232,27.63066858,85.30644073,-0.796996
233,27.63066858,85.31144073,-4.22363
234,27.63066858,85.31544073,-4.62833
235,27.63066858,85.32144072,-5.96335
236,27.63066858,85.32544072,-6.55314
237,27.63066858,85.33144071,-11.5762
238,27.63066858,85.33644071,-19.5419
239,27.63066858,85.34144071,-37.9433
240,27.63066858,85.3454407,-44.1189
241,27.63066858,85.3484407,-39.2762
242,27.63066858,85.3534407,-24.9363
243,27.63066858,85.35944069,-9.99022
244,27.62966858,85.36344069,-2.68417
245,27.63066858,85.36844069,1.618
246,27.63066858,85.37344068,0.34075
247,27.63066858,85.38044068,2.20793
248,27.62866858,85.38444067,2.236
249,27.62766858,85.39144067,3.51822
250,27.63066858,85.39644066,3.12055
251,27.62866858,85.39944066,4.32479
252,27.63066858,85.41944065,8.68954
253,27.63166858,85.26044077,6.48182
254,27.63266858,85.28344075,0.509591
255,27.63466858,85.29044075,-0.950234
256,27.63166858,85.29544074,-2.44299
257,27.63566858,85.30144074,1.8944
258,27.63566858,85.30644073,-2.36648
259,27.63566858,85.31144073,-5.96539
260,27.63566858,85.31644073,-9.3559
261,27.63566858,85.32144072,-10.8495
262,27.63566858,85.32644072,-14.6718
263,27.63566858,85.33144071,-23.9008
264,27.63566858,85.33544071,-30.0465
265,27.63466858,85.34144071,-49.6314
266,27.63566858,85.3464407,-51.587
267,27.63566858,85.3494407,-47.6695
268,27.63566858,85.3534407,-43.6376
269,27.63566858,85.35844069,-23.4941
270,27.63566858,85.36544069,-19.5302
271,27.63566858,85.36844069,-12.7044
272,27.63566858,85.37344068,-8.15345
273,27.63566858,85.37844068,-3.29995
274,27.63566858,85.38344067,-0.280334
275,27.63566858,85.38844067,2.60487
276,27.63166858,85.39644066,2.28936
277,27.63266858,85.40044066,1.23897
278,27.63466858,85.40644066,0.427274
279,27.63566858,85.41244065,3.52543
280,27.63466858,85.41544065,0.746969
281,27.63166858,85.42144064,4.09349
282,27.63466858,85.43844063,7.04466
283,27.63566858,85.43944063,4.4823
284,27.63366858,85.4844406,-0.670034
285,27.63466858,85.4854406,2.6285
286,27.63866857,85.27544076,6.77893
287,27.63866857,85.27944075,3.74341
288,27.63866857,85.28444075,-8.6843
289,27.63966857,85.29144074,-2.7471
290,27.63766858,85.29344074,-1.4872
291,27.63966857,85.30044074,-2.16076
292,27.63866857,85.30644073,-4.79181
293,27.63966857,85.31144073,-10.2802
294,27.63966857,85.31644073,-17.8631
295,27.63966857,85.32044072,-28.3654
296,27.63966857,85.32244072,-29.0903
297,27.63966857,85.33144071,-38.097
298,27.63966857,85.33244071,-34.3162
299,27.63966857,85.34144071,-49.012
300,27.63966857,85.3474407,-60.857
301,27.63966857,85.3514407,-63.5383
302,27.63966857,85.3534407,-65.4446
303,27.63966857,85.35944069,-50.5783
304,27.63966857,85.36344069,-32.4929
305,27.63866857,85.36844069,-27.0941
306,27.63966857,85.37344068,-19.4599
307,27.63966857,85.37844068,-10.8212
308,27.63966857,85.38344067,-3.63738
309,27.63966857,85.38944067,-0.0647754
310,27.63866857,85.39344067,3.29382
